lst,epoch,total_staked,daily_stake,daily_unstake,daily_net,tvl_sol
jSOL,742,980730.029521282,-18301.716579379,12233.639490337,-6068.077089042,980841.134459126
mrgnLST,742,218526.718023125,-355.923962398,8.664918112,-347.259044286,218551.919937034
stSOL,742,40931.157264788,-8.693089503,14.61509014,5.922000637,41305.359333189
scnSOL,742,3.41032767,0.0,0.001352163,0.001352163,37.749633238
jito,741,15353097.9178167,-60191.479731064,1289652.10831299,1229460.62858192,15355677.7269946
mSOL Liquid,741,4969772.52842692,-17094.371408233,50046.072672906,32951.701264673,4970687.42374402
mSOL Native,741,4377793.51630204,-23604.444304283,228092.708623831,204488.264319548,4390172.20577064
bSOL,741,1143641.37442516,-9243.219581925,91655.977149936,82412.757568011,1143793.31400883
jSOL,741,1016018.09383,-3258.185788691,45558.226351957,42300.040563266,1016184.09184227
mrgnLST,741,218873.977067411,-410.272088605,86.812444611,-323.459643994,218919.501351441
stSOL,741,40925.235264151,-115.672806808,13.979712959,-101.693093849,41295.910795357
scnSOL,741,3.408975507,0.0,0.001360324,0.001360324,37.748257071
jito,740,14123637.2892348,-1266374.85855144,46429.131352389,-1219945.72719905,14125318.072714
mSOL Liquid,740,5018199.75203734,-49914.87008135,27832.324823245,-22082.545258105,5019000.53094442
mSOL Native,740,4298365.90442405,-34006.76604236,142305.550867509,108298.784825149,4310227.54373162
bSOL,740,1118405.58183431,-48052.275423981,103283.296651033,55231.021227052,1118515.75811867
jSOL,740,977365.313441807,-8429.465294683,37228.091598372,28798.626303689,977472.797518673
mrgnLST,740,219197.436711405,-880.317693065,8.868363113,-871.449329952,219239.423246501
stSOL,740,41026.928358,-16749.551720574,0.0,-16749.551720574,41388.682278135
scnSOL,740,3.407615183,0.0,0.001351843,0.001351843,37.746863255
jito,739,15343583.0144086,-52504.122874792,3179.460366009,-49324.662508783,15345088.5678516
mSOL Liquid,739,5090950.7188581,-783.192346278,9540.164296486,8756.971950208,5091643.30268545
mSOL Native,739,4466369.39849672,-57333.417009835,168757.409281783,111423.992271948,4478462.02534543
bSOL,739,1110071.68105717,-58026.121926181,72480.919900691,14454.79797451,1110151.64352777
jSOL,739,991040.230820206,-13092.661490387,21526.043609369,8433.382118982,991132.678730299
mrgnLST,739,220068.886041357,-1171.520928273,9.567250047,-1161.953678226,220093.264501801
stSOL,739,57776.480078574,-122.931996023,14.857213869,-108.074782154,58134.22185025
scnSOL,739,3.40626334,0.0,0.001351809,0.001351809,37.745489952
jito,738,15392907.6779916,-105163.646650466,7054.193709549,-98109.452940917,15392910.8603142
mSOL Liquid,738,5172704.00021341,-98633.309365501,42844.536440973,-55788.772924528,5173203.32192716
mSOL Native,738,4547181.3340502,-46583.753787568,187640.758818711,141057.005031143,4559303.36717144
bSOL,738,1120626.08783725,-40067.592136597,75542.769918905,35475.177782308,1120723.27490088
jSOL,738,1002237.07262362,-2807.272036111,48197.049039737,45389.777003626,1002346.36110176
mrgnLST,738,221230.840811331,-132.348540742,1900.343929822,1767.99538908,221254.799337469
stSOL,738,57884.554860728,-39.367539974,16.735195151,-22.632344823,58238.754604824
scnSOL,738,3.404911531,0.0,0.001347926,0.001347926,37.744116231
jito,737,15491017.1330261,-91677.573707394,1846.252745933,-89831.320961461,15491028.4068731
mSOL Liquid,737,5254863.45010935,-76733.719015923,31135.316638889,-45598.402377034,5255591.63918319
mSOL Native,737,4588768.38583309,-54883.68207457,555731.18320352,500847.50112895,4600808.88077635
bSOL,737,1123118.81461275,-48566.872152418,39169.379161588,-9397.49299083,1123209.51653571
jSOL,737,977260.523140844,-3599.624352997,30018.814072461,26419.189719464,977365.570697799
mrgnLST,737,219462.845422251,-0.199595139,228.790825406,228.591230267,219483.282562015
stSOL,737,57907.187205551,-189.784130488,12.915683681,-176.868446807,58255.564285589
scnSOL,737,3.403563605,0.0,0.00135235,0.00135235,37.742748431
jito,736,15580848.4539876,-315730.530566851,3175.504273892,-312555.026292959,15582702.842179
mSOL Liquid,736,5356702.7985872,-104999.62813639,230548.739968621,125549.111832231,5357918.3724329
mSOL Native,736,4569241.97867322,-22968.128479826,1168272.0571278,1145303.92864797,4581186.19404747
bSOL,736,1132516.30760358,-50944.834716699,2296.050671482,-48648.784045217,1132641.30436933
jSOL,736,995137.106829606,-7400.750190633,34203.019124592,26802.268933959,995274.848741817
mrgnLST,736,219234.254191984,-840.197450257,410.33911287,-429.858337387,219256.380192399
stSOL,736,58084.055652358,0.0,22.545515297,22.545515297,58426.981888898
scnSOL,736,3.402211255,0.0,0.001352638,0.001352638,37.741377531
jito,735,15893403.4813029,-116807.690295871,403958.753007364,287151.062711493,15896734.5790456
mSOL Liquid,735,5232633.53348505,-72037.520315509,100273.330992448,28235.810676939,5234115.07561034
mSOL Native,735,3606100.96251713,-50579.163139335,196987.884881809,146408.721742474,3618291.68982696
bSOL,735,1181165.09278259,-3115.90901161,11349.483522974,8233.574511364,1181374.15651453
jSOL,735,987605.229691125,-11605.520938929,19321.052557766,7715.531618837,987822.175477569
mrgnLST,735,219664.113620841,0.0,87.838179397,87.838179397,219707.779856784
stSOL,735,58061.510137061,-58.186261005,20.514247429,-37.672013576,58399.294477148
scnSOL,735,3.400858617,0.0,0.001355827,0.001355827,37.739996684
jito,734,15606252.4216762,-33329.522163015,395935.698487464,362606.176324449,15609027.1709593
mSOL Liquid,734,5238795.47082249,-25126.158071153,90188.543901875,65062.385830722,5240092.02010354
mSOL Native,734,3271491.0669691,-16516.246641321,251105.739714493,234589.493073172,3282321.42959711
bSOL,734,1181061.06453908,-11183.354196617,14370.754922918,3187.400726301,1181221.12145702
jSOL,734,1001623.58921442,-14915.582880037,45187.877097289,30272.294217252,1001788.23650598
mrgnLST,734,219576.27653216,-3.38240262,82.877348117,79.494945497,219608.864969656
stSOL,734,58099.182150637,-35.5767024,20.867307883,-14.709394517,58428.706674487
scnSOL,734,3.39950279,0.0,0.00135799,0.00135799,37.738599033
jito,733,15243646.2497415,-418545.965031286,599161.687892541,180615.722861255,15246516.0585221
mSOL Liquid,733,5255404.94104708,-132450.930843812,419445.829111078,286994.898267266,5256741.12925661
mSOL Native,733,3256131.88478849,-41735.93212861,332414.886090647,290678.953962037,3266843.80839762
bSOL,733,1184400.86304442,-140948.066920815,30686.020602916,-110262.046317899,1184588.19669749
jSOL,733,975037.41049754,-88820.114188877,23564.844055719,-65255.270133158,975225.067577105
mrgnLST,733,219496.784852605,-5.851538855,91.639632047,85.788093192,219539.204485989
stSOL,733,58113.891545154,-91.477929369,20.837511753,-70.640417616,58435.0828333
scnSOL,733,3.3981448,0.0,0.001250214,0.001250214,37.737210643
jito,732,15063030.5280129,-189931.73876238,699038.754876206,509107.016113826,15067254.6603084
mSOL Liquid,732,5016763.06015321,-386719.377194307,257830.248708787,-128889.12848552,5017818.51090586
mSOL Native,732,3029410.68256901,-41632.394392662,131963.16017395,90330.765781288,3040722.40276573
bSOL,732,1300428.96951826,-28484.218737457,154722.636495444,126238.417757987,1300720.99582225
jSOL,732,1063358.99674878,-5047.432146531,99609.012121487,94561.579974956,1063614.33651994
mrgnLST,732,219410.997849588,0.0,89.126736889,89.126736889,219452.216681453
stSOL,732,58184.53196277,-9.035344732,19.79335295,10.758008218,58496.390620702
scnSOL,732,3.396894586,0.0,0.001371936,0.001371936,37.735920754
jito,731,14553923.5140354,-83335.010498806,1187059.96053986,1103724.95004105,14557259.5110493
